"nom","groupe_musculaire","muscles_secondaires","type","materiel","niveau","description","conseils","image"
"Thruster","Full body / fonctionnel","Abdominaux; Fessiers; Dos","polyarticulaire","Haltères / barre","intermédiaire","Thruster est un exercice de full body / fonctionnel réalisé avec haltères / barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/thruster.png"
"Clean and press","Full body / fonctionnel","Abdominaux; Fessiers; Dos","polyarticulaire","Barre / haltères","avancé","Clean and press est un exercice de full body / fonctionnel réalisé avec barre / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau avancé.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/clean-and-press.png"
"Turkish get-up","Full body / fonctionnel","Abdominaux; Fessiers; Dos","polyarticulaire","Kettlebell","avancé","Turkish get-up est un exercice de full body / fonctionnel réalisé avec kettlebell. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau avancé.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/turkish-get-up.png"
"Farmer walk","Full body / fonctionnel","Biceps; Trapèzes","isolation","Haltères / kettlebells","intermédiaire","Farmer walk est un exercice de full body / fonctionnel réalisé avec haltères / kettlebells. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/farmer-walk-full-body-fonctionnel.png"
"Sled push","Full body / fonctionnel","Abdominaux; Fessiers; Dos","polyarticulaire","Traîneau","intermédiaire","Sled push est un exercice de full body / fonctionnel réalisé avec traîneau. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/sled-push.png"
"Battle rope","Full body / fonctionnel","Abdominaux; Fessiers; Dos","polyarticulaire","Cordes","débutant","Battle rope est un exercice de full body / fonctionnel réalisé avec cordes. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/battle-rope.png"
"Med ball slam","Full body / fonctionnel","Abdominaux; Fessiers; Dos","polyarticulaire","Médecine ball","débutant","Med ball slam est un exercice de full body / fonctionnel réalisé avec médecine ball. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/med-ball-slam.png"
"Bear crawl","Full body / fonctionnel","Abdominaux; Fessiers; Dos","polyarticulaire","Poids du corps","débutant","Bear crawl est un exercice de full body / fonctionnel réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/bear-crawl.png"
"Jumping jacks","Full body / fonctionnel","Abdominaux; Fessiers; Dos","polyarticulaire","Poids du corps","débutant","Jumping jacks est un exercice de full body / fonctionnel réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/jumping-jacks.png"
"Kettlebell swing","Full body / fonctionnel","Lombaires; Abdominaux; Épaules","polyarticulaire","Kettlebell","intermédiaire","Kettlebell swing est un exercice de full body / fonctionnel réalisé avec kettlebell. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/kettlebell-swing-full-body-fonctionnel.png"
"Renegade row","Full body / fonctionnel","Biceps; Deltoïdes postérieurs; Avant-bras","polyarticulaire","Haltères","intermédiaire","Renegade row est un exercice de full body / fonctionnel réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/renegade-row.png"
"Course tapis","Cardio / HIIT","Quadriceps; Fessiers; Mollets; Abdominaux","polyarticulaire","Tapis","débutant","Course tapis est un exercice de cardio / hiit réalisé avec tapis. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/course-tapis.png"
"Vélo","Cardio / HIIT","Quadriceps; Fessiers; Mollets; Abdominaux","polyarticulaire","Vélo","débutant","Vélo est un exercice de cardio / hiit réalisé avec vélo. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/velo.png"
"Rameur","Cardio / HIIT","Quadriceps; Fessiers; Mollets; Abdominaux","polyarticulaire","Rameur","débutant","Rameur est un exercice de cardio / hiit réalisé avec rameur. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/rameur.png"
"Vélo elliptique","Cardio / HIIT","Quadriceps; Fessiers; Mollets; Abdominaux","polyarticulaire","Machine","débutant","Vélo elliptique est un exercice de cardio / hiit réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/velo-elliptique.png"
"Assault bike","Cardio / HIIT","Quadriceps; Fessiers; Mollets; Abdominaux","polyarticulaire","Machine","intermédiaire","Assault bike est un exercice de cardio / hiit réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/assault-bike.png"
"Corde à sauter","Cardio / HIIT","Quadriceps; Fessiers; Mollets; Abdominaux","polyarticulaire","Corde","débutant","Corde à sauter est un exercice de cardio / hiit réalisé avec corde. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/corde-a-sauter.png"
"Sprint","Cardio / HIIT","Quadriceps; Fessiers; Mollets; Abdominaux","polyarticulaire","Aucun","intermédiaire","Sprint est un exercice de cardio / hiit réalisé avec aucun. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/sprint.png"
"Montées de genoux","Cardio / HIIT","Quadriceps; Fessiers; Mollets; Abdominaux","polyarticulaire","Poids du corps","débutant","Montées de genoux est un exercice de cardio / hiit réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/montees-de-genoux.png"
"Jump squat","Cardio / HIIT","Ischio-jambiers; Mollets; Abdominaux","polyarticulaire","Poids du corps","intermédiaire","Jump squat est un exercice de cardio / hiit réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/jump-squat.png"
"Burpees","Cardio / HIIT","Abdominaux; Fessiers; Dos","polyarticulaire","Poids du corps","intermédiaire","Burpees est un exercice de cardio / hiit réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/burpees-cardio-hiit.png"
"Mountain climbers","Cardio / HIIT","Transverse; Fléchisseurs de hanche","polyarticulaire","Poids du corps","débutant","Mountain climbers est un exercice de cardio / hiit réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/mountain-climbers-cardio-hiit.png"
"Shadow boxing","Cardio / HIIT","Quadriceps; Fessiers; Mollets; Abdominaux","polyarticulaire","Aucun","débutant","Shadow boxing est un exercice de cardio / hiit réalisé avec aucun. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/shadow-boxing.png"
